mol_id,mean_test_score,std_test_score,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0ns,0.6039323813413695,0.045808506227625896,"[1, 2]",0.6173158086296808,0.5691404576305279,0.6153528481669235,0.6673377625834473,0.5505150296962682
1ns,0.5753928782075113,0.06817887500971469,"[1, 2]",0.5016557446549623,0.5795481553466071,0.539848717966261,0.5716092904459513,0.6843024826237746
2ns,0.5599462105875143,0.0958414856789679,"[1, 2]",0.5424244650359229,0.5563058824700966,0.44307557308792456,0.5476089019433581,0.7103162304002695
3ns,0.6203536458515756,0.10157130881398105,"[1, 2]",0.4820536217419731,0.7196199724405714,0.693691712230331,0.5469904483023043,0.6594124745426981
4ns,0.5772706256855085,0.11922447494680943,"[1, 2]",0.5959228939629442,0.6596336824460034,0.4359444821052989,0.47713313913666333,0.7177189307766325
5ns,0.5398609905246531,0.14702944334555687,"[1, 2]",0.2861060420363484,0.645100267767808,0.5559066661302485,0.5746942693863724,0.6374977073024879
6ns,0.6032483590215459,0.044725547823288206,"[1, 2]",0.5389689780636708,0.5969892685904576,0.6163811509206876,0.600247040986202,0.6636553565467114
7ns,0.5725957934056227,0.1566232768481286,"[1, 2]",0.3514177153026987,0.6501032248231333,0.48454314536784027,0.6229015571289589,0.7540133244054827
8ns,0.5922126764603121,0.1269792532208389,"[1, 2]",0.3900140367761399,0.6949977578539264,0.6274628338120851,0.5544917425112035,0.694097011348205
9ns,0.6052665130854225,0.11328415458559087,"[1, 2]",0.43604159521838914,0.67354608586236,0.5680770357189746,0.6147086191964752,0.7339592294309134
10ns,0.5568543241773417,0.11831373091494198,"[1, 2]",0.47950822544789984,0.5542618215544854,0.4099707483209978,0.6334925917016963,0.7070382338616292
10.0%_cluster1,0.6211281336270916,0.10585158550749452,"[1, 2]",0.5428172032608243,0.72396508836777,0.5443372822121573,0.5451636554003059,0.7493574388944004
10.0%_cluster2,0.5624328716170026,0.13715556380174537,"[1, 2]",0.5592981969018012,0.3699338870456754,0.5038687036996743,0.6545826790851079,0.7244808913527541
10.0%_cluster3,0.5945159595584069,0.09947985223827256,"[1, 2]",0.46732157447552813,0.7172083784977711,0.6083015998892418,0.5261560498281281,0.653592195101365
